SMILES,Most Basic,Most Acidic,Mass Solubility pH 1,Mass Solubility pH 2,Mass Solubility pH 3,Mass Solubility pH 4,Mass Solubility pH 5,Mass Solubility pH 6,Mass Solubility pH 7,Mass Solubility pH 8,Mass Solubility pH 9,Mass Solubility pH 10,LogD pH 1,LogD pH 2,LogD pH 3,LogD pH 4,LogD pH 5,LogD pH 6,LogD pH 7,LogD pH 8,LogD pH 9,LogD pH 10,Water Solubility,Caco-2 permeable,Melting Point (°C),Boiling Point (°C),Bioavailability,Bi Basic,Bi Acidic
BrCCC(=O)N1CCN(CC1)C(=O)CCBr,-0.56,,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,2.49,-0.5115,300,,1.0,1,0
Brc1c(NC2=NCCN2)ccc3nccnc13,7.69,,44.0,41.0,41.0,41.0,35.0,16.0,2.9,0.67,0.44,0.41,-0.81,-0.8,-0.8,-0.79,-0.73,-0.39,0.36,0.99,1.18,1.2,34.0,0.5435,207.5,,1.0,1,0
Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,2.0,11.39,5.4,1.0,0.6,0.54,0.54,0.54,0.54,0.54,0.54,0.57,1.28,1.99,2.24,2.27,2.28,2.28,2.28,2.28,2.27,2.25,0.0399,0.7571,,,1.0,1,1
C#CCN[C@@H]1CCc2ccccc12,6.95,,1000.0,1000.0,1000.0,950.0,150.0,17.0,3.4,2.1,1.9,1.9,-1.42,-1.42,-1.37,-1.04,-0.25,0.68,1.4,1.64,1.67,1.68,0.0249,0.5585,,,1.0,1,0
C(COCCOCC1CO1)OCCOCC2CO2,,,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,2.79,,,,1.0,0,0
C(Nc1ncnc2nc[nH]c12)c3occc3,9.24,,420.0,420.0,420.0,418.0,415.0,383.0,220.0,45.0,8.6,4.7,-2.45,-2.45,-2.45,-2.45,-2.45,-2.41,-2.17,-1.48,-0.76,-0.49,0.94,,,,1.0,1,0
C/C=C(c1ccc(O)cc1)/C(=C/C)c2ccc(O)cc2,,9.21,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0059,0.0096,0.088,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.89,4.69,3.72,0.003,0.8916,233.5,,1.0,0,1
C1CC(C2=NCCN2)c3ccccc3C1,10.42,,9.0,9.0,9.0,9.0,9.0,9.0,8.8,6.6,2.0,0.32,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.98,1.51,2.29,0.239,,256.5,,1.0,1,0
C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,10.52,,11.0,11.0,11.0,11.0,11.0,11.0,8.0,2.3,0.31,0.039,3.36,3.36,3.36,3.36,3.37,3.38,3.5,4.05,4.94,5.83,2.72e-05,0.6799,,,1.0,1,0
C1CCN(CC1)C2(CCCCC2)c3ccccc3,8.21,,253.0,253.0,251.0,230.0,140.0,29.0,3.4,0.54,0.23,0.2,1.15,1.15,1.15,1.18,1.4,2.09,3.02,3.83,4.19,4.24,0.00325,0.8867,46.5,136,1.0,1,0
