"GROUP_ID","CODE","CODE_NM","CODE_NM_ENG","ATTRB_1","ATTRB_2","ATTRB_3","SORT_ORDR","USE_YN","REGISTER_NO","REGIST_DT","UPDUSR_NO","UPDT_DT"
R010010,"10",카테고리,CATEGORY,,,메뉴유형코드,10,Y,1,,0,
R010010,"20",메뉴,MENU,,,메뉴유형코드,20,Y,1,,0,
R010010,"30",페이지,PAGE,,,메뉴유형코드,30,Y,1,,0,
R010010,"40",기능,FUNCTION,,,메뉴유형코드,40,Y,1,,0,
R010020,N,아니오,N,,,메뉴그룹,2,Y,1,,0,
R010020,Y,예,Y,,,메뉴그룹,1,Y,1,,0,
R010030,"10",남자,,,,,10,Y,1,,0,
R010030,"20",여자,,,,,20,Y,1,,0,
R010040,"10",집,HOUSE,,,연락처 구분 코드,1,Y,1,,0,
R010040,"20",직장,WRC,,,연락처 구분 코드,2,Y,1,,0,
R010040,"30",휴대폰,MOBLPHON,,,연락처 구분 코드,3,Y,1,,0,
R010050,"0",임시가입,TMPR,,,사용자 상태 코드,4,Y,1,,0,
R010050,"10",활동,ACT,,,사용자 상태 코드,1,Y,1,,0,
R010050,"20",탈퇴,SECSN,,,사용자 상태 코드,2,Y,1,,0,
R010050,"99",정지,STOP,,,사용자 상태 코드,3,Y,1,,0,
R010060,"10",관리자,,,,사용자 구분 코드,10,Y,1,,0,
R010070,"10",일반 게시판,,,,,10,Y,1,,0,
R010070,"20",블로그,,,,,15,Y,1,,0,
R010070,"30",자료실,,,,,25,Y,1,,0,
R010080,"10",엔티시스,"","",W,"",10,Y,1,"2020-03-20 13:28:50.0",,
R010090,"10",메인 팝업,,,,팝업 구분 코드,10,Y,1,,0,
R010100,"10",메인 - 롤링 배너,,이미지 사이즈: 1920x420,이미지 사이즈: 720x250,배너 구역 코드,10,Y,1,,0,
R010110,"10",게시판 코드,,,,URL유형코드,10,Y,1,,0,
R010110,"20",컨텐츠 ID,,,,URL유형코드,20,Y,1,,0,
R010110,"30",직접입력,,,,URL유형코드,30,Y,1,,0,
