"SEQ_NM","SEQ_INCRS","SEQ_MUMM_VALUE","SEQ_MXMM_VALUE","SEQ_NOW_VALUE","SEQ_INITL_YN"
SQ_BANNER_SEQ,1,1,2147483647,8,Y
SQ_BBS_ANSWER_SEQ,1,1,2147483647,17,Y
SQ_BBS_SEQ,1,1,2147483647,60,Y
SQ_CLASS_SEQ,1,1,2147483647,817,Y
SQ_CNTNTS_SEQ,1,1,2147483647,60,Y
SQ_EVENT_SEQ,1,1,2147483647,16,Y
SQ_MENU_ID,100,1000,2147483647,201,Y
SQ_PHOTO_SEQ,1,1,2147483647,8,Y
SQ_POPUP_SEQ,1,1,2147483647,15,Y
SQ_REQST_SEQ,1,1,2147483647,9,Y
SQ_REQST_SEQ2,1,1,2147483647,7,Y
SQ_SUPRT_SEQ,1,1,2147483647,10,Y
SQ_USER_AUTH_NO,1,1,2147483647,32,Y
SQ_USER_NO,1,1,2147483647,85,Y
